Data Series,Energy (Cents Per Kilowatt Hour)
  2022 Dec,29.7
  2022 Nov,29.7
  2022 Oct,29.7
  2022 Sep,30.2
  2022 Aug,30.2
  2022 Jul,30.2
  2022 Jun,27.9
  2022 May,27.9
  2022 Apr,27.9
  2022 Mar,25.4
  2022 Feb,25.4
  2022 Jan,25.4
  2021 Dec,24.1
  2021 Nov,24.1
  2021 Oct,24.1
  2021 Sep,23.4
  2021 Aug,23.4
  2021 Jul,23.4
  2021 Jun,22.6
  2021 May,22.6
  2021 Apr,22.6
  2021 Mar,20.8
  2021 Feb,20.8
  2021 Jan,20.8
  2020 Dec,21.4
  2020 Nov,21.4
  2020 Oct,21.4
  2020 Sep,19.6
  2020 Aug,19.6
  2020 Jul,19.6
  2020 Jun,23
  2020 May,23
  2020 Apr,23
  2020 Mar,24.2
  2020 Feb,24.2
  2020 Jan,24.2
  2019 Dec,23.4
  2019 Nov,23.4
  2019 Oct,23.4
  2019 Sep,24.2
  2019 Aug,24.2
  2019 Jul,24.2
  2019 Jun,22.8
  2019 May,22.8
  2019 Apr,22.8
  2019 Mar,23.9
  2019 Feb,23.9
  2019 Jan,23.9
  2018 Dec,24.1
  2018 Nov,24.1
  2018 Oct,24.1
  2018 Sep,23.7
  2018 Aug,23.7
  2018 Jul,23.7
  2018 Jun,22.2
  2018 May,22.2
  2018 Apr,22.2
  2018 Mar,21.6
  2018 Feb,21.6
  2018 Jan,21.6
  2017 Dec,20.3
  2017 Nov,20.3
  2017 Oct,20.3
  2017 Sep,20.7
  2017 Aug,20.7
  2017 Jul,20.7
  2017 Jun,21.4
  2017 May,21.4
  2017 Apr,21.4
  2017 Mar,20.2
  2017 Feb,20.2
  2017 Jan,20.2
  2016 Dec,19.1
  2016 Nov,19.1
  2016 Oct,19.1
  2016 Sep,19.3
  2016 Aug,19.3
  2016 Jul,19.3
  2016 Jun,17.7
  2016 May,17.7
  2016 Apr,17.7
  2016 Mar,19.5
  2016 Feb,19.5
  2016 Jan,19.5
  2015 Dec,20.4
  2015 Nov,20.4
  2015 Oct,20.4
  2015 Sep,22.4
  2015 Aug,22.4
  2015 Jul,22.4
  2015 Jun,20.9
  2015 May,20.9
  2015 Apr,20.9
  2015 Mar,23.3
  2015 Feb,23.3
  2015 Jan,23.3
  2014 Dec,25.3
  2014 Nov,25.3
  2014 Oct,25.3
  2014 Sep,25.7
  2014 Aug,25.7
  2014 Jul,25.7
  2014 Jun,25.7
  2014 May,25.7
  2014 Apr,25.7
  2014 Mar,25.7
  2014 Feb,25.7
  2014 Jan,25.7
  2013 Dec,26.1
  2013 Nov,26.1
  2013 Oct,26.1
  2013 Sep,26
  2013 Aug,26
  2013 Jul,26
  2013 Jun,26.7
  2013 May,26.7
  2013 Apr,26.7
  2013 Mar,26.3
  2013 Feb,26.3
  2013 Jan,26.3
  2012 Dec,27.3
  2012 Nov,27.3
  2012 Oct,27.3
  2012 Sep,28.1
  2012 Aug,28.1
  2012 Jul,28.1
  2012 Jun,28.8
  2012 May,28.8
  2012 Apr,28.8
  2012 Mar,27.6
  2012 Feb,27.6
  2012 Jan,27.6